1,Chợ nổi Long Xuyên,3,6,54,An Giang
2,Núi Sam,4,4,54,An Giang
3,Chùa Bà Chúa Xứ Núi Sam,3,6,54,An Giang
4,Vườn quốc gia Tràm Chim,4,4,54,An Giang
5,Chùa Châu Đốc,3,6,54,An Giang
6,Biển Mũi Nai,5,2,54,An Giang
7,Bảo tàng tỉnh An Giang,3,3,54,An Giang
8,Làng nước Ê Đê Ấng Sêr,2,6,54,An Giang
9,Khu du lịch sinh thái Bình Thủy,5,5,54,An Giang
10,Chợ nổi Châu Đốc,3,6,54,An Giang
11,Biển Cần Thơ - Bãi Dứa,5,2,54,An Giang
12,Đền thờ Trung Nguyên - Tịnh Biên,3,6,54,An Giang
13,Suối Đá Bàn Thạch Đàm,2,4,54,An Giang
14,Chùa Tây An - Long Xuyên,3,6,54,An Giang
15,Khu du lịch sinh thái Long Hiệp,5,5,54,An Giang
16,Bãi biển Vũng Tàu,5,2,49,Bà Rịa – Vũng Tàu
17,Quần đảo Côn Đảo,50,2,49,Bà Rịa – Vũng Tàu
18,Bãi biển Long Hải,10,2,49,Bà Rịa – Vũng Tàu
19,Cung điện Trắng,8,3,49,Bà Rịa – Vũng Tàu
20,Núi Minh Đạm,5,4,49,Bà Rịa – Vũng Tàu
21,Suối nước nóng Bình Châu,15,5,49,Bà Rịa – Vũng Tàu
22,Bãi biển Back Beach,5,2,49,Bà Rịa – Vũng Tàu
23,Tượng Chúa Kitô Vũng Tàu,2,6,49,Bà Rịa – Vũng Tàu
24,Bãi biển Hồ Cốc,10,2,49,Bà Rịa – Vũng Tàu
25,Đình Cô,2,6,49,Bà Rịa – Vũng Tàu
26,Bãi biển Hồ Tràm,10,2,49,Bà Rịa – Vũng Tàu
27,Chùa Phước Hải Tử,2,6,49,Bà Rịa – Vũng Tàu
28,Hải đăng Vũng Tàu,2,1,49,Bà Rịa – Vũng Tàu
29,Bãi biển Front Beach,5,2,49,Bà Rịa – Vũng Tàu
30,Núi Tà Cú,10,4,49,Bà Rịa – Vũng Tàu
31,Vườn quốc gia Yên Thế,5,2,8,Bắc Giang
32,Chùa Kênh Tắm,3,6,8,Bắc Giang
33,Đình Rừng Thông,2,6,8,Bắc Giang
34,Chùa Châu Thánh,3,6,8,Bắc Giang
35,Chùa Sùng Khánh,3,6,8,Bắc Giang
36,Chùa Dơi,3,6,8,Bắc Giang
37,Đình Dương Đô,2,6,8,Bắc Giang
38,Chùa Trung Đức,3,6,8,Bắc Giang
39,Hồ Đá Bàn,5,5,8,Bắc Giang
40,Cao nguyên đá Đồng Văn,4,4,8,Bắc Giang
41,Thung lũng Tân Thanh,4,4,8,Bắc Giang
42,Suối Mỡ,5,5,8,Bắc Giang
43,Động Moóc,4,4,8,Bắc Giang
44,Khu du lịch sinh thái Thạch Sơn,5,5,8,Bắc Giang
45,Hồ Thô,5,5,8,Bắc Giang
46,Hồ Ba Bể,5,2,3,Bắc Kạn
47,Động Puông,4,4,3,Bắc Kạn
48,Hồ Nắm Nhùn,5,5,3,Bắc Kạn
49,Khu du lịch sinh thái Pác Nặm,5,5,3,Bắc Kạn
50,Động Hua Mạc,4,4,3,Bắc Kạn
51,Chùa Ngọc Sơn,3,6,3,Bắc Kạn
52,Khu du lịch sinh thái Thác Bản Giốc,5,5,3,Bắc Kạn
53,Động Ngườm Ngao,4,4,3,Bắc Kạn
54,Động Đào Lodge,5,5,3,Bắc Kạn
55,Khu du lịch sinh thái Hòa Bình,5,5,3,Bắc Kạn
56,Khu di tích lịch sử Hùng King,3,6,3,Bắc Kạn
57,Hồ Động Đà,5,5,3,Bắc Kạn
58,Chùa Thanh Mai,3,6,3,Bắc Kạn
59,Bản Lùng,4,4,3,Bắc Kạn
60,Khu di tích lịch sử Vụ Bản,3,6,3,Bắc Kạn
61,Vùng biển Cà Mau - Bạc Liêu,5,2,61,Bạc Liêu
62,Cồn Cỏ,4,2,61,Bạc Liêu
63,Bảo tàng tỉnh Bạc Liêu,3,3,61,Bạc Liêu
64,Khu du lịch sinh thái Vọng Cảnh,5,5,61,Bạc Liêu
65,Công viên biển Hòa Bình,5,2,61,Bạc Liêu
66,Chùa Long Điền,3,6,61,Bạc Liêu
67,Đầm Cái Cung,4,2,61,Bạc Liêu
68,Biển Phương Bình,5,2,61,Bạc Liêu
69,Chợ nổi Vĩnh Hậu,3,6,61,Bạc Liêu
70,Đầm Văn Phùng,4,2,61,Bạc Liêu
71,Bảo tàng huyện Phước Long,3,3,61,Bạc Liêu
72,Chợ nổi Nào Cống,3,6,61,Bạc Liêu
73,Bảo tàng Cải Lương,3,3,61,Bạc Liêu
74,Rừng tràm Trần Đề,4,4,61,Bạc Liêu
75,Chợ nổi Bạc Liêu,3,6,61,Bạc Liêu
76,Đền Dô,3,6,16,Bắc Ninh
77,Chùa Dâu,3,6,16,Bắc Ninh
78,Làng nghề đúc đồng Đông Hồ,3,6,16,Bắc Ninh
79,Cụm di tích Văn Miếu Quốc Tử Giám Bắc Ninh,3,6,16,Bắc Ninh
80,Làng gốm Bát Tràng,3,6,16,Bắc Ninh
81,Chùa Phật Tích,3,6,16,Bắc Ninh
82,Bảo tàng Quốc gia Bắc Ninh,3,3,16,Bắc Ninh
83,Khu du lịch sinh thái Đồng Giao,5,5,16,Bắc Ninh
84,Chùa But Thap,3,6,16,Bắc Ninh
85,Công viên biển Đền Đông,5,2,16,Bắc Ninh
86,Chùa Dương Đô,3,6,16,Bắc Ninh
87,Đại Lễ,3,6,16,Bắc Ninh
88,Công viên văn hóa Đền Lừ,5,5,16,Bắc Ninh
89,Đền Bà Chúa Kho,3,6,16,Bắc Ninh
90,Khu di tích lịch sử Dâu Pagoda,3,6,16,Bắc Ninh
91,Cồn Phụng,5,2,55,Bến Tre
92,Đảo Rạch Miễu,3,2,55,Bến Tre
93,Cánh đồng dừa Bến Tre,2,5,55,Bến Tre
94,Khu du lịch sinh thái Bến Tre,5,5,55,Bến Tre
95,Cồn Vành Khuyên,4,2,55,Bến Tre
96,Cây điệp vườn Rừng,2,5,55,Bến Tre
97,Khu du lịch sinh thái An Hiệp,5,5,55,Bến Tre
98,Chùa Tòa Thánh,3,6,55,Bến Tre
99,Đầm Dơi,4,2,55,Bến Tre
100,Cánh đồng mặt trời,2,5,55,Bến Tre
101,Khu du lịch sinh thái Sơn Đốc,5,5,55,Bến Tre
102,Khu du lịch sinh thái Cồn Sơn,5,5,55,Bến Tre
103,Đền ông Hòa,3,6,55,Bến Tre
104,Bảo tàng tỉnh Bến Tre,3,3,55,Bến Tre
105,Chợ nổi Cái Mơn,3,6,55,Bến Tre
106,Biển Quy Nhơn,5,2,35,Bình Định
107,Bãi Xép,3,2,35,Bình Định
108,Cù Lao Xanh,4,2,35,Bình Định
109,Chùa Ông Núi,3,6,35,Bình Định
110,Hòn Khô,3,2,35,Bình Định
111,Bảo tàng Quang Trung,3,3,35,Bình Định
112,Suối Hội Vân,4,5,35,Bình Định
